Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Dramatherapist,Entertainment,Decreasing,Moderate,79043.35,Master’s Degree,0,4062,1376,15.4,3.54,USA,31.33
Quantity surveyor,Education,Decreasing,Low,142038.53,Associate Degree,7,5914,3127,72.89,10.2,Canada,27.41
"Surveyor, insurance",Healthcare,Decreasing,Low,99666.89,Associate Degree,16,2991,2620,80.14,41.42,Australia,31.29
"Horticulturist, amenity",Retail,Decreasing,Moderate,44754.04,High School,3,9691,1648,24.56,28.81,China,58.73
Sales executive,Entertainment,Decreasing,High,69443.05,Bachelor’s Degree,8,1652,7117,69.16,91.04,Brazil,33.58
Civil Service administrator,Manufacturing,Decreasing,High,90338.73,PhD,3,6468,1686,38.34,59.63,UK,69.78
Holiday representative,Education,Increasing,Low,78927.22,High School,6,1292,1341,58.8,42.33,Australia,48.91
Environmental consultant,Retail,Decreasing,High,144634.28,Bachelor’s Degree,6,3929,1639,15.2,76.35,Canada,51.36
Medical sales representative,Manufacturing,Increasing,High,112836.92,Associate Degree,3,2643,5195,14.04,6.03,India,46.43
Social worker,Finance,Increasing,Low,110467.7,Master’s Degree,11,9192,601,95.71,46.87,Germany,76.24
Social worker,Education,Increasing,Moderate,45496.57,Bachelor’s Degree,6,9165,2306,9.78,4.48,Canada,27.52
Metallurgist,Education,Increasing,High,137455.78,Bachelor’s Degree,1,5803,3384,26.67,65.54,USA,77.95
"Restaurant manager, fast food",Manufacturing,Decreasing,Moderate,136560.57,Associate Degree,9,3432,1240,6.86,24.39,Canada,40.6
Jewellery designer,IT,Decreasing,Low,91045.04,PhD,8,481,293,52.56,76.42,China,25.27
Air traffic controller,Education,Increasing,Low,124181.0,High School,16,5731,1498,56.61,64.84,UK,29.21
Agricultural engineer,Healthcare,Increasing,High,48511.48,Master’s Degree,17,4748,3808,94.47,38.22,India,46.21
Sport and exercise psychologist,IT,Increasing,Low,92990.45,Associate Degree,17,4570,3657,79.33,68.81,China,20.33
Building surveyor,Transportation,Decreasing,Low,101712.15,PhD,18,5182,8280,3.63,16.61,Brazil,67.31
Pension scheme manager,Manufacturing,Increasing,High,121925.51,Master’s Degree,0,5393,4139,0.88,55.3,China,21.22
"Horticulturist, amenity",Manufacturing,Increasing,High,35269.06,Bachelor’s Degree,2,1980,6632,47.05,56.36,India,43.04
Restaurant manager,IT,Increasing,High,31448.6,Bachelor’s Degree,5,7643,1436,19.17,70.17,Germany,79.03
Further education lecturer,IT,Increasing,Moderate,45337.48,Master’s Degree,7,6576,8532,17.04,15.02,USA,69.57
"Administrator, arts",Retail,Decreasing,Moderate,81906.32,PhD,6,2374,7995,24.21,8.45,USA,32.06
Child psychotherapist,IT,Increasing,Moderate,134783.75,Associate Degree,10,1293,7906,89.29,3.57,Germany,31.43
Art therapist,Entertainment,Decreasing,Moderate,60540.59,PhD,17,1869,8485,60.78,47.81,India,47.61
Medical sales representative,Transportation,Increasing,Moderate,44422.61,PhD,5,7799,8611,75.82,20.98,Germany,60.44
Clinical biochemist,Transportation,Increasing,Moderate,119924.07,PhD,19,8530,4049,28.87,37.97,UK,60.76
Data processing manager,Finance,Increasing,High,140887.42,High School,5,8096,9704,1.86,55.71,Brazil,34.85
Pension scheme manager,Retail,Decreasing,Moderate,84011.88,Bachelor’s Degree,0,9445,3090,66.31,88.01,USA,40.44
Orthoptist,Transportation,Increasing,High,118819.2,High School,4,9970,9403,40.24,48.7,Germany,31.35
Transport planner,Retail,Increasing,High,44895.33,Associate Degree,7,3988,6943,41.89,38.2,China,32.37
Futures trader,Manufacturing,Decreasing,Low,41280.77,Master’s Degree,18,1239,6979,24.92,66.28,China,25.23
Facilities manager,IT,Increasing,High,89168.75,Master’s Degree,1,8109,6327,55.09,45.19,Australia,58.07
Learning mentor,Entertainment,Decreasing,Low,52405.78,Associate Degree,3,3203,4657,48.98,72.5,India,31.91
"Surveyor, hydrographic",Finance,Decreasing,High,96186.07,Associate Degree,18,3840,292,72.05,66.94,India,64.17
"Surveyor, rural practice",Finance,Increasing,Low,78430.11,High School,16,7215,7837,62.71,53.11,China,45.92
Data processing manager,Transportation,Increasing,High,134556.66,Master’s Degree,5,5153,1478,63.84,68.76,China,24.29
"Designer, multimedia",Transportation,Decreasing,Moderate,32300.06,High School,7,6592,4893,52.0,3.48,UK,48.86
Print production planner,Healthcare,Increasing,Low,95167.52,Bachelor’s Degree,15,278,5409,8.31,29.29,Canada,49.13
Equality and diversity officer,Healthcare,Increasing,Low,103414.27,Master’s Degree,18,555,580,55.21,80.73,UK,61.77
Advertising account executive,Transportation,Decreasing,High,52822.46,Bachelor’s Degree,14,3349,5034,47.45,16.46,Canada,21.49
Occupational therapist,Manufacturing,Increasing,Low,78411.83,Associate Degree,16,5653,3340,23.57,7.59,UK,76.94
Chief Financial Officer,Education,Increasing,Moderate,117376.27,Bachelor’s Degree,4,1781,7704,37.15,74.58,India,59.54
Translator,Transportation,Decreasing,High,61485.96,Bachelor’s Degree,4,7446,7194,83.94,93.96,India,45.95
Proofreader,Healthcare,Decreasing,Low,119897.23,Bachelor’s Degree,16,2927,8832,96.2,69.74,UK,72.29
Quality manager,Retail,Increasing,Low,130142.28,Master’s Degree,10,4703,1330,79.0,38.03,UK,77.35
Radiation protection practitioner,Transportation,Decreasing,High,118304.47,High School,15,1151,2540,48.28,25.11,UK,68.52
Transport planner,Finance,Increasing,Low,40619.22,Associate Degree,9,3735,7853,0.72,22.86,UK,26.19
Government social research officer,Manufacturing,Decreasing,High,57071.71,PhD,17,9176,532,75.05,69.48,Australia,52.82
Forensic psychologist,Manufacturing,Decreasing,Moderate,78859.16,PhD,15,4714,4056,96.2,7.94,USA,61.72
"Education officer, museum",Healthcare,Increasing,High,103113.2,High School,7,3363,2270,48.2,53.3,Australia,47.58
Animal technologist,Entertainment,Decreasing,High,147185.39,Master’s Degree,0,7676,3833,14.84,99.79,Australia,75.76
Information officer,IT,Decreasing,Moderate,61899.77,Bachelor’s Degree,3,1282,3083,51.91,50.69,Brazil,66.52
"Psychologist, occupational",Education,Increasing,Moderate,134695.17,High School,18,4881,780,6.21,89.3,Australia,39.65
TEFL teacher,Finance,Increasing,Low,102036.52,PhD,4,4779,1728,2.67,65.55,Canada,30.79
Intelligence analyst,Education,Decreasing,High,140160.05,PhD,19,6823,3617,77.81,95.59,Australia,43.06
"Doctor, general practice",Finance,Increasing,High,40556.41,High School,17,2449,7920,20.96,43.49,Australia,66.83
Operational investment banker,Entertainment,Increasing,Moderate,74337.53,PhD,19,9938,9653,34.07,26.33,Australia,52.98
Chemical engineer,Transportation,Increasing,Moderate,88259.39,PhD,3,6099,273,63.16,29.08,Australia,67.32
Chartered public finance accountant,Education,Decreasing,Low,79141.72,High School,5,6239,2902,20.64,8.88,Brazil,41.49
Lawyer,Education,Increasing,Low,39360.43,PhD,13,6488,7421,10.41,23.31,India,72.13
"Runner, broadcasting/film/video",Manufacturing,Decreasing,Moderate,71539.53,Bachelor’s Degree,4,7369,5105,71.0,43.06,India,28.83
Diagnostic radiographer,Entertainment,Increasing,Moderate,116934.84,High School,10,6628,1888,24.19,25.59,Brazil,42.07
Metallurgist,Finance,Increasing,Low,121344.41,Bachelor’s Degree,9,7602,4809,32.67,52.44,China,27.52
Phytotherapist,Finance,Increasing,Low,69252.33,Master’s Degree,2,9454,4100,79.35,2.93,UK,36.71
Paramedic,Education,Decreasing,High,141041.44,High School,3,4603,2801,20.9,14.91,Brazil,25.13
Manufacturing systems engineer,Healthcare,Increasing,Low,69427.22,Bachelor’s Degree,5,5919,7920,37.75,96.36,Brazil,65.26
"Teacher, adult education",Finance,Increasing,Low,33367.62,Master’s Degree,14,4727,5277,50.21,10.97,Brazil,24.15
"Designer, industrial/product",Transportation,Increasing,Low,55660.83,Associate Degree,13,3864,5463,30.56,4.88,Canada,66.33
Herpetologist,Transportation,Decreasing,High,119301.98,Bachelor’s Degree,13,5637,9244,3.18,10.83,China,64.55
Health service manager,IT,Increasing,Low,112837.1,PhD,5,9393,8520,13.15,32.25,Germany,41.82
Land,Entertainment,Decreasing,Moderate,104548.94,PhD,8,1553,447,40.92,29.94,Canada,51.1
Research scientist (life sciences),Finance,Decreasing,Moderate,121278.59,Master’s Degree,0,7301,8786,67.12,30.65,Canada,30.01
Chartered legal executive (England and Wales),Entertainment,Increasing,Low,46525.18,PhD,17,6753,8534,4.31,41.25,India,62.19
Midwife,Manufacturing,Increasing,High,84671.04,Bachelor’s Degree,6,5916,2259,42.14,16.31,India,73.64
"Horticulturist, commercial",Healthcare,Decreasing,Moderate,112030.99,High School,0,4897,8514,66.42,52.54,Brazil,63.89
Dancer,Retail,Decreasing,High,136585.2,PhD,0,8726,4647,30.92,50.72,China,29.26
Production manager,Education,Decreasing,Moderate,65674.01,PhD,10,3236,4152,93.05,70.6,Canada,38.39
"Surveyor, rural practice",Healthcare,Increasing,High,117151.18,Associate Degree,18,8668,7053,3.06,12.94,Canada,47.33
Aeronautical engineer,Finance,Decreasing,Moderate,149151.62,Bachelor’s Degree,15,3883,274,66.67,45.57,Canada,58.21
Administrator,Manufacturing,Increasing,High,119425.97,Bachelor’s Degree,16,6755,8594,90.93,98.98,USA,56.15
"Research officer, government",Education,Decreasing,High,129900.8,Bachelor’s Degree,4,6849,9019,90.45,60.68,Australia,65.92
"Teacher, English as a foreign language",Education,Decreasing,High,39385.87,High School,12,8043,8119,75.67,58.52,Australia,54.7
Multimedia specialist,Healthcare,Increasing,Low,60292.71,Bachelor’s Degree,3,4208,3411,46.26,65.35,Australia,34.67
"Surveyor, building control",Education,Increasing,Moderate,34019.96,Bachelor’s Degree,20,5508,8804,37.55,94.24,Canada,27.13
Sales executive,Education,Increasing,Moderate,111398.72,Bachelor’s Degree,15,6596,494,61.04,10.96,Germany,21.95
Prison officer,Finance,Increasing,Low,70066.35,High School,15,8914,7151,30.38,55.9,Canada,66.32
Radiation protection practitioner,Retail,Decreasing,Low,128226.37,Master’s Degree,19,8403,2187,75.7,48.76,UK,59.7
Logistics and distribution manager,Entertainment,Decreasing,Moderate,132753.37,High School,0,5885,2117,43.0,3.65,Canada,77.25
Public librarian,Transportation,Increasing,High,63031.39,PhD,0,4564,815,73.07,69.36,Germany,70.32
"Librarian, public",Finance,Decreasing,Low,41596.52,PhD,3,9385,1656,75.73,73.53,Canada,50.17
Theatre manager,Retail,Increasing,Low,141251.15,High School,5,842,1108,5.18,62.97,Brazil,23.75
Veterinary surgeon,Manufacturing,Decreasing,Moderate,116336.94,Bachelor’s Degree,7,4368,9046,55.38,35.09,Brazil,21.21
Civil Service administrator,Transportation,Increasing,Low,49794.59,PhD,20,156,7169,79.99,89.63,Germany,78.77
Accommodation manager,Manufacturing,Increasing,High,115327.05,PhD,3,3902,5505,29.61,89.84,India,76.58
Seismic interpreter,Healthcare,Decreasing,Moderate,139123.73,High School,1,6909,9005,46.61,10.52,Germany,31.31
"Production assistant, television",Entertainment,Decreasing,Low,52974.76,High School,0,8098,4154,14.56,7.73,India,64.52
Midwife,Entertainment,Decreasing,High,55819.15,Master’s Degree,17,152,429,75.51,98.58,Australia,39.41
Public relations account executive,Education,Increasing,Low,99803.72,Master’s Degree,10,7679,6784,17.04,32.36,UK,47.47
Agricultural engineer,IT,Increasing,High,138700.19,Associate Degree,9,5758,4729,7.64,72.24,China,53.37
"Editor, magazine features",Transportation,Decreasing,Low,63807.61,Bachelor’s Degree,12,5328,5965,13.72,76.28,Germany,74.68
Media buyer,IT,Increasing,Moderate,47238.53,High School,4,8183,807,48.66,17.63,India,55.21
Clinical research associate,Manufacturing,Increasing,High,140162.76,Master’s Degree,16,3864,9137,28.38,47.33,USA,34.06
Architectural technologist,Healthcare,Increasing,Low,119652.52,High School,0,9424,4440,30.91,10.26,Brazil,38.74
"Research officer, political party",Entertainment,Decreasing,High,129848.89,Master’s Degree,12,2345,6071,67.48,59.25,Australia,65.85
"Production assistant, television",Manufacturing,Increasing,Low,67883.84,Associate Degree,6,5771,5199,2.5,98.33,India,54.29
Clinical embryologist,Entertainment,Decreasing,Moderate,141125.59,Associate Degree,18,6896,1071,9.01,33.85,UK,25.65
Midwife,Manufacturing,Decreasing,Low,37034.11,Master’s Degree,13,1839,114,39.51,44.35,China,37.28
Advice worker,Manufacturing,Increasing,Low,103916.12,Bachelor’s Degree,7,2821,7097,53.87,44.58,India,42.44
Hospital pharmacist,Finance,Decreasing,High,37612.78,Master’s Degree,8,9837,1011,98.2,41.5,Germany,22.41
Trade mark attorney,Healthcare,Decreasing,High,77581.8,Associate Degree,14,6693,8189,57.85,13.51,USA,29.4
Manufacturing systems engineer,Retail,Decreasing,Moderate,45742.34,Master’s Degree,18,7707,4909,34.51,5.03,China,62.42
"Teacher, English as a foreign language",IT,Increasing,Moderate,95673.13,Bachelor’s Degree,17,7964,4255,57.81,65.06,Germany,58.46
"Engineer, maintenance",Entertainment,Increasing,High,64615.95,Bachelor’s Degree,19,9632,8280,48.91,39.5,India,23.01
Building control surveyor,Finance,Increasing,Moderate,145960.53,Master’s Degree,0,5956,3970,73.47,71.99,India,20.67
Water engineer,Healthcare,Increasing,Moderate,113477.32,Associate Degree,10,6039,7789,98.64,44.24,Canada,49.42
Charity officer,Retail,Decreasing,Moderate,65640.55,Master’s Degree,10,7950,1425,68.16,48.69,Brazil,37.17
Automotive engineer,Retail,Increasing,Low,97338.01,Associate Degree,6,9400,6377,17.74,8.28,UK,74.46
"Programmer, systems",Manufacturing,Increasing,High,99987.3,Bachelor’s Degree,4,4874,7263,64.93,19.83,India,49.82
Comptroller,Manufacturing,Increasing,Low,124931.94,Bachelor’s Degree,11,202,1340,31.4,48.3,Australia,75.92
"Psychologist, occupational",IT,Increasing,Low,94058.68,PhD,19,1773,5066,84.25,0.96,USA,25.89
Optometrist,Entertainment,Increasing,Low,101370.32,PhD,10,7242,154,52.58,81.46,UK,36.21
Community pharmacist,Retail,Decreasing,High,59610.29,Master’s Degree,5,3887,4979,82.09,38.2,Australia,32.03
Chief Executive Officer,Healthcare,Decreasing,Low,30399.49,Associate Degree,7,4752,6239,62.49,14.67,USA,33.57
Textile designer,Retail,Increasing,Low,52233.82,High School,12,5395,8564,4.73,42.99,UK,75.43
Data scientist,Manufacturing,Decreasing,High,117976.89,High School,3,2140,6663,70.63,4.0,USA,70.98
Electrical engineer,IT,Decreasing,Moderate,49735.47,Associate Degree,4,9645,379,40.79,76.62,USA,51.4
Call centre manager,Transportation,Decreasing,High,56776.22,Associate Degree,10,7184,7510,77.39,34.22,China,54.88
"Engineer, energy",Finance,Decreasing,Moderate,118254.67,Bachelor’s Degree,8,2390,8119,19.2,24.75,UK,34.93
IT consultant,Healthcare,Decreasing,Moderate,83631.65,PhD,1,5755,6251,25.85,58.86,China,71.83
"Doctor, general practice",Education,Decreasing,Moderate,104524.92,Master’s Degree,14,3398,5008,50.12,88.02,Australia,38.18
"Engineer, biomedical",Retail,Increasing,Moderate,73171.38,Bachelor’s Degree,11,8164,2234,3.2,55.72,USA,76.29
"Horticulturist, commercial",Manufacturing,Decreasing,Low,36376.61,Master’s Degree,17,3805,6725,34.44,60.55,Brazil,62.23
Race relations officer,Finance,Decreasing,Low,63406.31,High School,15,5032,3453,53.09,64.23,USA,39.51
"Nurse, mental health",Entertainment,Increasing,Moderate,113481.29,Associate Degree,20,4534,1749,8.37,6.54,Australia,50.19
Educational psychologist,Transportation,Increasing,Moderate,32490.41,Associate Degree,7,9130,264,72.76,73.16,Brazil,42.42
Barrister's clerk,Entertainment,Decreasing,Low,62100.58,Associate Degree,14,5563,5029,55.18,83.93,India,56.41
"Accountant, chartered certified",Education,Decreasing,High,92913.29,Bachelor’s Degree,9,5602,2628,44.27,78.18,Brazil,66.02
Fashion designer,Education,Decreasing,Low,96003.16,Bachelor’s Degree,15,6835,6049,92.63,35.46,China,39.56
Podiatrist,Retail,Decreasing,Moderate,133366.23,Master’s Degree,13,9701,9192,39.16,77.7,China,73.35
"Scientist, research (physical sciences)",Finance,Decreasing,Low,37028.29,Master’s Degree,4,8854,962,77.1,23.57,USA,59.13
Nature conservation officer,Entertainment,Decreasing,Moderate,136002.24,Bachelor’s Degree,18,5368,642,97.11,16.44,Germany,57.74
Visual merchandiser,Finance,Increasing,Low,47907.6,PhD,16,4740,3764,15.87,27.67,UK,37.86
Farm manager,Manufacturing,Decreasing,Low,45571.64,Master’s Degree,13,5207,1681,80.84,30.49,Canada,62.66
Leisure centre manager,Manufacturing,Increasing,High,40127.74,Bachelor’s Degree,5,970,962,55.42,90.88,Germany,79.37
Actor,Education,Decreasing,Moderate,88146.13,PhD,20,2228,1073,48.36,65.37,UK,75.08
Fisheries officer,Transportation,Decreasing,Moderate,34333.9,Bachelor’s Degree,18,2585,4386,46.68,57.52,Germany,64.72
IT technical support officer,Retail,Increasing,Moderate,139122.92,PhD,18,3568,3005,71.75,27.73,China,21.77
Private music teacher,Manufacturing,Increasing,High,135049.69,Master’s Degree,15,6195,6534,90.44,93.86,Germany,22.21
"Psychologist, sport and exercise",Healthcare,Decreasing,Low,57289.53,PhD,7,4186,9794,50.51,84.88,India,72.65
"Administrator, arts",Retail,Increasing,Moderate,103256.44,PhD,20,2980,7569,16.33,86.7,China,56.16
Water engineer,Education,Increasing,High,57644.96,Associate Degree,15,9528,4236,96.73,61.82,Canada,42.32
Lexicographer,Manufacturing,Increasing,High,108207.34,High School,7,2657,3022,20.51,13.97,USA,58.87
Medical technical officer,IT,Increasing,High,61665.42,Bachelor’s Degree,16,2879,570,3.61,59.3,USA,78.08
Museum/gallery curator,Healthcare,Increasing,High,88639.76,High School,8,2081,8276,4.95,35.23,China,22.68
"Restaurant manager, fast food",Finance,Increasing,High,71886.92,High School,3,673,4525,21.62,84.55,Germany,53.13
"Engineer, automotive",Entertainment,Decreasing,High,106431.72,Master’s Degree,10,6221,9271,54.06,52.46,Canada,39.35
Water quality scientist,Education,Decreasing,High,116073.9,Bachelor’s Degree,13,5787,5858,58.93,99.71,Australia,41.25
Theatre stage manager,Transportation,Increasing,Low,119933.31,Associate Degree,9,7883,3870,68.95,36.16,UK,25.31
Research scientist (physical sciences),Retail,Decreasing,High,140143.46,Bachelor’s Degree,10,7384,741,41.78,54.31,Australia,27.63
Geophysicist/field seismologist,Entertainment,Decreasing,Low,119335.47,Bachelor’s Degree,1,4856,2502,85.77,48.55,USA,52.97
Medical illustrator,Manufacturing,Increasing,Moderate,104981.98,High School,15,6643,6698,71.47,22.78,Germany,29.43
"Teacher, secondary school",Healthcare,Increasing,Low,110757.7,High School,7,9502,1896,13.14,94.6,USA,54.84
Special effects artist,Manufacturing,Increasing,High,147436.11,Associate Degree,9,8945,1672,3.66,85.21,India,30.25
Hospital doctor,Entertainment,Increasing,High,113910.56,High School,11,8132,6532,18.65,51.82,India,46.92
Advertising account executive,IT,Increasing,High,117440.93,Associate Degree,16,7271,1878,65.12,10.89,Brazil,20.22
Psychiatrist,Transportation,Increasing,Moderate,126027.24,Associate Degree,20,3559,3284,59.48,44.42,Brazil,60.24
Archaeologist,Manufacturing,Decreasing,High,77452.36,Bachelor’s Degree,3,5958,5148,49.35,71.75,Australia,36.64
