"Title","Link","Metascore","ReleaseDate","Description","Developer","Publisher","Platforms","Genre"
"World Soccer Winning Eleven 7 International","https://www.metacritic.com/game/world-soccer-winning-eleven-7-international/","93",2004-02-17,"Winning Eleven 7 International features 100 teams, 21 stadiums, new player models and key additions to the Master League. Winning Eleven 7 also utilizes a custom designed engine that allows for great flexibility and customization. Upon entering a match, players will find incredibly masterful gameplay, beautifully rendered stadiums and picture-perfect player models. While on the field, players will experience true-to-life gameplay, with carefully tuned A.I., realistic pace and balance. [Konami]","KCET","Konami","PlayStation 2, PC","Soccer Sim"
"Forza Horizon 4","https://www.metacritic.com/game/forza-horizon-4/","92",2018-09-28,"For the first time in the racing and driving genre, experience dynamic seasons in a shared open-world. Explore beautiful scenery, collect over 450 cars, and become a Horizon Superstar in historic Britain.","Playground Games","Microsoft Game Studios","Xbox One, PC, Xbox Series X","Auto Racing Sim"
"God of War III","https://www.metacritic.com/game/god-of-war-iii/","92",2010-03-16,"Set in the realm of brutal Greek mythology, God of War III is a single-player game which allows players to take on the climatic role of the ex-Spartan warrior, Kratos, as he scales through the intimidating heights of Mt. Olympus and the dark depths of Hell to seek revenge on those who have betrayed him. Armed with double-chained blades, and an array of new weapons and magic for this iteration of the trilogy, Kratos must take on mythology’s darkest creatures while solving intricate puzzles throughout his merciless quest to destroy Olympus. [SCEA]","SCE Santa Monica","SCEA","PlayStation 3","Linear Action Adventure"
"NHL 2002","https://www.metacritic.com/game/nhl-2002/","92",2001-09-24,"The PlayStation 2 version features include Career Mode, allowing you to compete for the Stanley Cup for 10 consecutive years and build a true hockey dynasty. Also included are Quick Game, Season, Playoffs, Shootout, and Tournament modes.  [EA Sports]","EA Sports","Electronic Arts","PC, PlayStation 2, Xbox, Game Boy Advance","Hockey Sim"
"NFL 2K3","https://www.metacritic.com/game/nfl-2k3/","92",2002-08-21,"NFL 2K3 upgrades Sega Sports' football series with realistic player animations, play-calling intelligence, and an on-the-fly audible system. With Franchise mode, you get total team control as player, coach, and general manager. A new ESPN broadcast system lets you review all the highlights from your games. Now you can track the best players, make the smartest trades, and build the most dominant team in the league. NFL 2K3 also brings you closer to the action with updated rosters and authentic stadiums.","Visual Concepts","Sega","GameCube, PlayStation 2, Xbox","Football Sim"
"SSX Tricky","https://www.metacritic.com/game/ssx-tricky/","92",2001-11-05,"Second-generation rider physics provide more in-air and on-snow user control. Compete in the World Circuit, go head-to-head in the unique Showoff (trick) versions of nine courses on the World Circuit, or just kick it in Free Ride. New Garibaldi and Alaska courses let you get more vertical and catch more air, while all the original courses have some new surprises. [Electronic Arts]","EA Canada","EA Sports Big","PlayStation 2, GameCube, Xbox, Game Boy Advance","Skiing"
"Prince of Persia: The Sands of Time","https://www.metacritic.com/game/prince-of-persia-the-sands-of-time/","92",2003-11-10,"Amidst the sands of ancient Persia, a young Prince unleashes a deadly evil. Embark on a harrowing quest to restore peace and the fabric of Time. Embody a legendary hero with gravity-defying acrobatics, ferocious fighting combos, and the ability to bend time to fulfill his bidding. Wield the power of the Sands of Time - a mythical force allowing the Prince to erase the past, behold the future, and freeze the present. You'll uncover the mysteries of a world never before explored in action-adventure gaming. Ancient Persia, mythical and deadly, holds a staggering array of landscapes and kingdoms to explore and conquer. [Ubi Soft]","Ubisoft","Ubisoft","PlayStation 2, Xbox, GameCube, PC, Game Boy Advance, PlayStation 3","Linear Action Adventure"
"Clair Obscur: Expedition 33","https://www.metacritic.com/game/clair-obscur-expedition-33/","92",2025-04-24,"Once a year, the Paintress wakes and paints upon her monolith. Paints her cursed number. And everyone of that age turns to smoke and fades away. Year by year, that number ticks down and more of us are erased. Tomorrow she’ll wake and paint “33.” And tomorrow we depart on our final mission - Destroy the Paintress, so she can never paint death again. We are Expedition 33. Clair Obscur: Expedition 33 is a turn-based RPG with unique real-time mechanics, making battles more immersive and addictive than ever. Explore a fantasy world inspired by Belle Époque France in which you battle devastating enemies. In this evolution of JRPGs, real-time actions enhance the heart of turn-based combat. Craft unique builds for your Expeditioners that fit your playstyle via gear, stats, skills, and character synergies. Open an active dimension in combat - dodge, parry, and counter in real time, chain combos by mastering attack rhythms, and target enemy weak points using a free aim system. With only one year left to live, join Gustave, Maelle, and their fellow Expeditioners as they embark upon a desperate quest to break the Paintress’ cycle of death. Follow the trail of previous expeditions and discover their fate. Get to know the members of Expedition 33 as they learn to work together against impossible odds. Explore an enchanting realm populated by surreal adversaries. Wander through breathtaking landscapes, from the Island of Visages to the Forgotten Battlefield, discovering secrets and hidden quests along the way. Find allies of fortune in creatures of legend. Recruit special companions to access new travel methods and discover secret areas in the World Map.","Sandfall Interactive","Kepler Interactive","Xbox Series X, PC, PlayStation 5","JRPG"
"Uncharted 3: Drake's Deception","https://www.metacritic.com/game/uncharted-3-drakes-deception/","92",2011-11-01,"A search for the fabled ""Atlantis of the Sands"" propels fortune hunter Nathan Drake on a trek into the heart of the Arabian Desert. When the terrible secrets of this lost city are unearthed, Drake's quest descends into a desperate bid for survival that strains the limits of his endurance and forces him to confront his deepest fears.","Naughty Dog","SCEA","PlayStation 3","Linear Action Adventure"
"Final Fantasy VII Rebirth","https://www.metacritic.com/game/final-fantasy-vii-rebirth/","92",2024-02-29,"FINAL FANTASY VII REBIRTH is the  new story in the FINAL FANTASY VII remake project, a reimagining of the iconic original game into three standalone titles by its original creators. In this game, players will enjoy various new elements as the story unfolds, culminating in the party’s journey to “The Forgotten Capital” from the original FINAL FANTASY VII. Cloud and his comrades escape the city of Midgar in pursuit of the fallen hero, Sephiroth. As they travel across the world, they find themselves on a journey that will decide the fate of the planet. In this standalone adventure for fans and newcomers, Cloud and his comrades venture across the planet, their fates unwritten, making each step outside the dystopian city of Midgar fresh and mysterious. [Square Enix]","Square Enix","Square Enix","PlayStation 5, PC","Action RPG"
"Rock Band","https://www.metacritic.com/game/rock-band/","92",2007-11-20,"Play together in your living room or across the world! Rock Band offers deep online functionality, allowing players to rock together whether they’re in Rhode Island or Reykjavik. Major record labels and leading music publishers have signed on to provide unrivaled access to master recordings and legendary rock artists – from punk, metal and alternative to classic and southern rock. Rock Band ships with 45 fearsome tracks from artists like Bon Jovi and The Ramones to Black Sabbath and Stone Temple Pilots. Full support for downloadable content delivers never-ending challenges. New content will be available every week. Download full albums for play with Rock Band including the iconic rock album 'Who's Next' by The Who. Metallica has signed on to offer several tracks as digitally-distributed game levels for Rock Band as well as ""Enter Sandman"" for the Rock Band ship disc. Create your own rock avatar! Mold a unique rocker using Rock Band's character creator. Chose from gender, body shape, face, hair, clothes, tattoos and signature moves. Don't forget to pick your specialized rockin’ instrument. Drumming in the spotlight! Showcase a real drum solo with Rock Band's freestyle drum fill windows featured in each song. Break out your own rhythm and style as anything goes! Vocalists can bring the crowd to their feet during Rock Band’s freestyle vocal fill windows. Ad-lib your own words or shout to the crowd to raise the rock intensity of the performance. Band mates can fail out of a song for poor performance, but the band still plays on. Rescue your failing mate by busting out signature moves and blistering solos to wow the crowd with showmanship. Earn bonus points for your band during Rock Band’s Unison Phrase opportunities if everyone plays perfectly. [Harmonix]","Harmonix Music Systems","MTV Games","Xbox 360, PlayStation 3, PlayStation 2, Wii, iOS (iPhone/iPad)","Rhythm"
